,Product_Name,Brand,Capacity_kg,Machine_Type,Load_type,Color,Price,Discount_%,Reviews_Count
0,"Intex 8 kg With Air Dry Technology, Pulsator Design, Magic Filter Semi Automatic Top Load Washing Machine",Intex,8,Semi Automatic,Top Load,"Maroon, White",8999,39,17041
1,Midea 7.5 kg Semi Automatic Top Load Washing Machine,Midea,7.5,Semi Automatic,Top Load,"Black, Grey",19369,31,18200
2,Godrej 7 kg Fully Automatic Top Load Washing Machine,Godrej,7,Fully Automatic,Top Load,Grey,12990,43,475
3,MOTOROLA 14 kg 5 star rating Midnight Series Soft closing Glass lid Semi Automatic Top Load Washing Machine,MOTOROLA,14,Semi Automatic,Top Load,Black,7299,63,475
4,VW 8 kg Semi Automatic Top Load Washing Machine,VW,8,Semi Automatic,Top Load,"White, Maroon",6999,63,63703
5,VW 7.5 kg Semi Automatic Top Load Washing Machine,VW,7.5,Semi Automatic,Top Load,"Black, Grey",7290,47,74082
6,MarQ by Flipkart 7 kg 5 Star Rating Innowash Range Semi Automatic Top Load Washing Machine,MarQ by Flipkart,7,Semi Automatic,Top Load,"Blue, White",12690,33,31324
7,"Haier 6.5 kg Powerful Oceanus Wave Drum, Smart Fuzzy Control, Balance Clean Pulsator, Custom Wash Cycles with 15 Mins Quick Wash, Magic Filter, Castor Wheels Fully Automatic Top Load Washing Machine",Haier,6.5,Fully Automatic,Top Load,"Brown, Grey",6890,42,98936
8,MarQ by Flipkart 6 kg 5 Star Rating Innowash Range Semi Automatic Top Load Washing Machine,MarQ by Flipkart,6,Semi Automatic,Top Load,"White, Maroon",7999,42,23446
9,realme TechLife 7.5 kg 5 Star Rating Semi Automatic Top Load Washing Machine,realme TechLife,7.5,Semi Automatic,Top Load,"Black, Grey",11290,50,54121
10,Voltas Beko 8.5 kg Semi Automatic Top Load Washing Machine,Voltas Beko,8.5,Semi Automatic,Top Load,"Blue, White",10990,32,39395
11,"LG 7 kg 5 Star with Wind Jet Dry, Collar Scrubber and Rust Free Plastic Base Semi Automatic Top Load Washing Machine",LG,7,Semi Automatic,Top Load,"Grey, White",9290,29,63703
12,"Samsung 6.5 kg 5 star, Air Turbo Drying Semi Automatic Top Load Washing Machine",Samsung,6.5,Semi Automatic,Top Load,"Blue, Grey",6990,46,74082
